date,close,volume,return,volatility,total_edits,unique_editors,revert_count,anon_edits,controversy_total,positive_total,controversy_index,revert_rate,attention_index,attention_lag1,attention_lag7,controversy_lag1,edits_lag1
2019-01-01,3797.14,23741.687033,,,6.0,4.0,0.0,0.0,0.0,1.0,-0.16666666666666666,0.0,24.0,,,,
2019-01-02,3858.56,35156.463369,0.0161753319603701,,5.0,5.0,0.0,0.0,1.0,0.0,0.2,0.0,25.0,24.0,,-0.16666666666666666,6.0
2019-01-03,3766.78,29406.948359,-0.0237860756344334,,5.0,3.0,1.0,0.0,3.0,1.0,0.4,0.2,15.0,25.0,,0.2,5.0
2019-01-04,3792.01,29519.554671,0.0066980285548929,,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,15.0,,0.4,5.0
2019-01-05,3770.96,30490.667751,-0.0055511456984554,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4.0,,1.0,2.0
2019-01-06,3987.6,36553.806709,0.0574495619152681,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0
2019-01-07,3975.45,31869.846264,-0.0030469455311465,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0
2019-01-08,3955.13,38901.423122,-0.0051113710397564,0.0257453339108657,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,1.0
2019-01-09,3966.65,28989.439511,0.0029126729083495,0.0253670864426574,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,25.0,0.0,1.0
2019-01-10,3585.88,59402.22851,-0.0959928403060517,0.0454145473310216,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2019-01-11,3601.31,38338.654733,0.0043029883877876,0.0453110352470934,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2019-01-12,3583.13,21999.928354,-0.0050481630295642,0.045313067153995,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-13,3476.81,26385.757454,-0.0296723814095497,0.0358394135197371,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,3626.09,35235.211215,0.0429359096413091,0.0427563270366265,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2019-01-15,3553.06,34137.997459,-0.020140150961504,0.0427160761895429,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0
2019-01-16,3591.84,27480.179977,0.0109145356397022,0.0433583994430805,0.0,0.0,0.0,,,,0.0,0.0,0.0,6.0,0.0,0.0,3.0
2019-01-17,3616.21,29755.440838,0.0067848233774332,0.0235379857292266,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-18,3594.87,22713.446755,-0.0059012059587247,0.023646828692913,4.0,3.0,0.0,0.0,0.0,1.0,-0.25,0.0,12.0,0.0,0.0,0.0,0.0
2019-01-19,3665.3,22171.578123,0.0195918072141692,0.0245884420882307,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,-0.25,4.0
2019-01-20,3539.28,27901.938598,-0.0343819059831391,0.0256873193353439,5.0,3.0,2.0,0.0,2.0,1.0,0.2,0.4,15.0,2.0,0.0,0.0,2.0
2019-01-21,3526.9,19644.436839,-0.0034978865758007,0.018630138697591,2.0,2.0,0.0,0.0,0.0,1.0,-0.5,0.0,4.0,15.0,1.0,0.2,5.0
2019-01-22,3570.93,29336.442967,0.0124840511497348,0.0179299252155909,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.5,4.0,4.0,6.0,-0.5,2.0
2019-01-23,3552.82,24938.842698,-0.0050715079825143,0.0174468574047127,0.0,0.0,0.0,,,,0.0,0.0,0.0,4.0,0.0,0.0,2.0
2019-01-24,3569.62,20826.25118,0.004728638095935,0.0173022599298409,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0
2019-01-25,3565.29,17608.346671,-0.0012130142704265,0.017203946230083,0.0,0.0,0.0,,,,0.0,0.0,0.0,4.0,12.0,0.0,2.0
2019-01-26,3565.25,19476.532344,-1.1219283704844152e-05,0.0146963573416284,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2019-01-27,3550.84,22735.598162,-0.0040417923006801,0.006222876463485,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0
2019-01-28,3434.15,40405.111401,-0.0328626465850334,0.0141728282957127,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,2.0
2019-01-29,3411.04,29544.928977,-0.0067294672626414,0.0122423527202025,4.0,3.0,3.0,0.0,4.0,0.0,1.0,0.75,12.0,1.0,4.0,0.0,1.0
2019-01-30,3458.18,23968.260243,0.0138198320746751,0.0144770458047416,2.0,2.0,0.0,0.0,0.0,1.0,-0.5,0.0,4.0,12.0,0.0,1.0,4.0
2019-01-31,3434.1,29607.190253,-0.0069632002961095,0.0140013018161775,0.0,0.0,0.0,,,,0.0,0.0,0.0,4.0,4.0,-0.5,2.0
2019-02-01,3462.07,25260.476159,0.0081447832037506,0.0148894706259452,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-02,3504.77,17920.802,0.0123336616532883,0.0161325535900156,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-03,3458.11,19867.33639,-0.0133132844665982,0.0166683708782037,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2019-02-04,3463.22,23131.981108,0.0014776857879013,0.0105802950843025,2.0,2.0,1.0,0.0,1.0,0.0,0.5,0.5,4.0,0.0,1.0,0.0,0.0
2019-02-05,3471.59,25264.41503,0.0024168259596561,0.0099778294937749,6.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,4.0,12.0,0.5,2.0
2019-02-06,3405.37,35310.244846,-0.0190748331456191,0.0114310256221307,0.0,0.0,0.0,,,,0.0,0.0,0.0,18.0,4.0,0.0,6.0
2019-02-07,3398.4,18665.538638,-0.0020467673116283,0.0112346203411309,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-02-08,3659.04,47968.058013,0.0766949152542373,0.03188217941911,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,-1.0,1.0
2019-02-09,3665.18,24759.833719,0.0016780357689447,0.0319149434850979,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-10,3680.06,23250.602634,0.0040598278938552,0.0307410521338092,2.0,2.0,0.0,0.0,1.0,0.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0
2019-02-11,3631.05,24954.614571,-0.0133177176459078,0.0318580734266449,0.0,0.0,0.0,,,,0.0,0.0,0.0,4.0,4.0,0.5,2.0
2019-02-12,3631.46,29479.59823,0.0001129149970393,0.0319275679195018,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,18.0,0.0,0.0
2019-02-13,3609.4,25773.997648,-0.0060746917217867,0.0305135052853868,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-14,3590.56,21753.501261,-0.0052197041059456,0.0307231134060833,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0
2019-02-15,3602.47,20777.872899,0.0033170313265897,0.0062947998539618,8.0,2.0,0.0,0.0,1.0,5.0,-0.5,0.0,16.0,1.0,0.0,-1.0,1.0
2019-02-16,3618.41,19565.992751,0.0044247419131873,0.0066527196534602,0.0,0.0,0.0,,,,0.0,0.0,0.0,16.0,0.0,-0.5,8.0
2019-02-17,3667.58,25690.227779,0.013588841507734,0.0087113424167447,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,4.0,0.0,0.0
2019-02-18,3898.6,64042.730492,0.0629897643677848,0.024093299604389,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0
2019-02-19,3907.79,50207.172667,0.0023572564510336,0.0239473283979565,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2019-02-20,3969.74,36205.14085,0.0158529501329396,0.0227826452154862,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0
